"","Deforestation (1000 ha/year)","Deforestation (1000 ha/year)","Deforestation (1000 ha/year)","Deforestation (1000 ha/year)"
"","1990-2000","2000-2010","2010-2015","2015-2020"
"Argentina","213.60","327.40","242.40","134.80"
"Bolivia (Plurinational State of)","270.33","200.05","190.69","242.54"
"Brazil","4254.80","5129.30","1867.80","1695.70"
"Chile","10.11","14.21","11.27","9.40"
"Colombia","229.13","214.33","143.17","199.23"
"Ecuador","129.94","105.08","96.13","87.22"
"Falkland Islands (Malvinas) (Desk study)","0.00","0.00","0.00","0.00"
"French Guyana","5.56","5.54","5.65","5.78"
"Guyana","3.79","4.44","11.69","9.20"
"Paraguay","255.42","342.14","414.25","279.34"
"Peru","160.28","150.28","188.50","179.09"
"Suriname","3.68","4.11","9.86","11.65"
"Uruguay","","0.66","1.83",""
"Venezuela (Bolivarian Republic of)","303.85","183.99","182.27","108.29"
"© FRA 2023","","","",""
"2023-04-05","","","",""